"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","monooxygenase activity","GO:0004497","1.5801533397896766e-18","17.801300766594185","160","547","34","21091","ENSMUSG00000071551,ENSMUSG00000024087,ENSMUSG00000024055,ENSMUSG00000054757,ENSMUSG00000052974,ENSMUSG00000021210,ENSMUSG00000056035,ENSMUSG00000023963,ENSMUSG00000052914,ENSMUSG00000060613,ENSMUSG00000005514,ENSMUSG00000062624,ENSMUSG00000028240,ENSMUSG00000026170,ENSMUSG00000070419,ENSMUSG00000032310,ENSMUSG00000015224,ENSMUSG00000029727,ENSMUSG00000028712,ENSMUSG00000074254,ENSMUSG00000029630,ENSMUSG00000052520,ENSMUSG00000021214,ENSMUSG00000068086,ENSMUSG00000054417,ENSMUSG00000075551,ENSMUSG00000066071,ENSMUSG00000025004,ENSMUSG00000063929,ENSMUSG00000025479,ENSMUSG00000066072,ENSMUSG00000042248,ENSMUSG00000028715,ENSMUSG00000092008"
"GO:MF","steroid hydroxylase activity","GO:0008395","1.367840742485426e-16","15.863964464520903","70","547","23","21091","ENSMUSG00000024087,ENSMUSG00000052974,ENSMUSG00000056035,ENSMUSG00000023963,ENSMUSG00000052914,ENSMUSG00000060613,ENSMUSG00000062624,ENSMUSG00000028240,ENSMUSG00000026170,ENSMUSG00000070419,ENSMUSG00000032310,ENSMUSG00000015224,ENSMUSG00000029727,ENSMUSG00000074254,ENSMUSG00000029630,ENSMUSG00000052520,ENSMUSG00000068086,ENSMUSG00000054417,ENSMUSG00000075551,ENSMUSG00000025004,ENSMUSG00000025479,ENSMUSG00000042248,ENSMUSG00000092008"
"GO:MF","heme binding","GO:0020037","2.2043689660281163e-15","14.656715711771778","186","547","33","21091","ENSMUSG00000052217,ENSMUSG00000052187,ENSMUSG00000055609,ENSMUSG00000024087,ENSMUSG00000024055,ENSMUSG00000052974,ENSMUSG00000056035,ENSMUSG00000023963,ENSMUSG00000052914,ENSMUSG00000060613,ENSMUSG00000062624,ENSMUSG00000028240,ENSMUSG00000026170,ENSMUSG00000070419,ENSMUSG00000032310,ENSMUSG00000015224,ENSMUSG00000029727,ENSMUSG00000028712,ENSMUSG00000074254,ENSMUSG00000029630,ENSMUSG00000022877,ENSMUSG00000052520,ENSMUSG00000068086,ENSMUSG00000054417,ENSMUSG00000075551,ENSMUSG00000066071,ENSMUSG00000025004,ENSMUSG00000063929,ENSMUSG00000025479,ENSMUSG00000066072,ENSMUSG00000042248,ENSMUSG00000028715,ENSMUSG00000092008"
"GO:MF","tetrapyrrole binding","GO:0046906","9.790078621308145e-15","14.009213820488672","195","547","33","21091","ENSMUSG00000052217,ENSMUSG00000052187,ENSMUSG00000055609,ENSMUSG00000024087,ENSMUSG00000024055,ENSMUSG00000052974,ENSMUSG00000056035,ENSMUSG00000023963,ENSMUSG00000052914,ENSMUSG00000060613,ENSMUSG00000062624,ENSMUSG00000028240,ENSMUSG00000026170,ENSMUSG00000070419,ENSMUSG00000032310,ENSMUSG00000015224,ENSMUSG00000029727,ENSMUSG00000028712,ENSMUSG00000074254,ENSMUSG00000029630,ENSMUSG00000022877,ENSMUSG00000052520,ENSMUSG00000068086,ENSMUSG00000054417,ENSMUSG00000075551,ENSMUSG00000066071,ENSMUSG00000025004,ENSMUSG00000063929,ENSMUSG00000025479,ENSMUSG00000066072,ENSMUSG00000042248,ENSMUSG00000028715,ENSMUSG00000092008"
"GO:MF","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen","GO:0016712","1.1477226469427003e-14","13.940163048745696","66","547","21","21091","ENSMUSG00000024087,ENSMUSG00000052974,ENSMUSG00000056035,ENSMUSG00000052914,ENSMUSG00000060613,ENSMUSG00000062624,ENSMUSG00000070419,ENSMUSG00000032310,ENSMUSG00000015224,ENSMUSG00000029727,ENSMUSG00000074254,ENSMUSG00000029630,ENSMUSG00000052520,ENSMUSG00000068086,ENSMUSG00000054417,ENSMUSG00000075551,ENSMUSG00000066071,ENSMUSG00000025004,ENSMUSG00000025479,ENSMUSG00000042248,ENSMUSG00000092008"
"GO:MF","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","GO:0016705","6.456892982351749e-14","13.189976411605507","221","547","34","21091","ENSMUSG00000071551,ENSMUSG00000024087,ENSMUSG00000024055,ENSMUSG00000054757,ENSMUSG00000052974,ENSMUSG00000021210,ENSMUSG00000056035,ENSMUSG00000023963,ENSMUSG00000052914,ENSMUSG00000060613,ENSMUSG00000005514,ENSMUSG00000062624,ENSMUSG00000028240,ENSMUSG00000026170,ENSMUSG00000070419,ENSMUSG00000032310,ENSMUSG00000015224,ENSMUSG00000029727,ENSMUSG00000028712,ENSMUSG00000074254,ENSMUSG00000029630,ENSMUSG00000052520,ENSMUSG00000021214,ENSMUSG00000068086,ENSMUSG00000054417,ENSMUSG00000075551,ENSMUSG00000066071,ENSMUSG00000025004,ENSMUSG00000063929,ENSMUSG00000025479,ENSMUSG00000066072,ENSMUSG00000042248,ENSMUSG00000028715,ENSMUSG00000092008"
"GO:MF","aromatase activity","GO:0070330","5.105305058291498e-12","11.291978302318624","36","547","15","21091","ENSMUSG00000024087,ENSMUSG00000056035,ENSMUSG00000052914,ENSMUSG00000070419,ENSMUSG00000032310,ENSMUSG00000029727,ENSMUSG00000074254,ENSMUSG00000029630,ENSMUSG00000052520,ENSMUSG00000068086,ENSMUSG00000054417,ENSMUSG00000075551,ENSMUSG00000066071,ENSMUSG00000025479,ENSMUSG00000042248"
"GO:MF","iron ion binding","GO:0005506","7.652367917487139e-12","11.11620415773867","213","547","31","21091","ENSMUSG00000055609,ENSMUSG00000024087,ENSMUSG00000024055,ENSMUSG00000052974,ENSMUSG00000056035,ENSMUSG00000023963,ENSMUSG00000052914,ENSMUSG00000060613,ENSMUSG00000033022,ENSMUSG00000062624,ENSMUSG00000028240,ENSMUSG00000026170,ENSMUSG00000070419,ENSMUSG00000032310,ENSMUSG00000015224,ENSMUSG00000029727,ENSMUSG00000028712,ENSMUSG00000074254,ENSMUSG00000029630,ENSMUSG00000052520,ENSMUSG00000068086,ENSMUSG00000054417,ENSMUSG00000075551,ENSMUSG00000066071,ENSMUSG00000025004,ENSMUSG00000063929,ENSMUSG00000025479,ENSMUSG00000066072,ENSMUSG00000042248,ENSMUSG00000028715,ENSMUSG00000092008"
"GO:MF","arachidonic acid monooxygenase activity","GO:0008391","1.6242566182091459e-9","8.789345354979183","42","547","14","21091","ENSMUSG00000052974,ENSMUSG00000052914,ENSMUSG00000060613,ENSMUSG00000062624,ENSMUSG00000028712,ENSMUSG00000074254,ENSMUSG00000066071,ENSMUSG00000025004,ENSMUSG00000063929,ENSMUSG00000025479,ENSMUSG00000066072,ENSMUSG00000042248,ENSMUSG00000028715,ENSMUSG00000092008"
"GO:MF","arachidonic acid epoxygenase activity","GO:0008392","1.310666712040094e-8","7.882507730524903","32","547","12","21091","ENSMUSG00000052974,ENSMUSG00000052914,ENSMUSG00000060613,ENSMUSG00000062624,ENSMUSG00000028712,ENSMUSG00000074254,ENSMUSG00000025004,ENSMUSG00000063929,ENSMUSG00000025479,ENSMUSG00000066072,ENSMUSG00000042248,ENSMUSG00000092008"
"GO:MF","2'-5'-oligoadenylate synthetase activity","GO:0001730","9.960522420418566e-8","7.001717882624999","12","547","8","21091","ENSMUSG00000029605,ENSMUSG00000001166,ENSMUSG00000032690,ENSMUSG00000052776,ENSMUSG00000066861,ENSMUSG00000029561,ENSMUSG00000041827,ENSMUSG00000032661"
"GO:MF","oxidoreductase activity","GO:0016491","2.3027040674529818e-7","6.637761871905652","831","547","55","21091","ENSMUSG00000052217,ENSMUSG00000081044,ENSMUSG00000055609,ENSMUSG00000071551,ENSMUSG00000029445,ENSMUSG00000024087,ENSMUSG00000030088,ENSMUSG00000024055,ENSMUSG00000054757,ENSMUSG00000027261,ENSMUSG00000052974,ENSMUSG00000021210,ENSMUSG00000056035,ENSMUSG00000022129,ENSMUSG00000074207,ENSMUSG00000023963,ENSMUSG00000015134,ENSMUSG00000016194,ENSMUSG00000033684,ENSMUSG00000052914,ENSMUSG00000060613,ENSMUSG00000005514,ENSMUSG00000028186,ENSMUSG00000075707,ENSMUSG00000040134,ENSMUSG00000027869,ENSMUSG00000033022,ENSMUSG00000062624,ENSMUSG00000028240,ENSMUSG00000026170,ENSMUSG00000070419,ENSMUSG00000032310,ENSMUSG00000015224,ENSMUSG00000022096,ENSMUSG00000052131,ENSMUSG00000029727,ENSMUSG00000028712,ENSMUSG00000074639,ENSMUSG00000074254,ENSMUSG00000029630,ENSMUSG00000052520,ENSMUSG00000021214,ENSMUSG00000055301,ENSMUSG00000068086,ENSMUSG00000054417,ENSMUSG00000075551,ENSMUSG00000066071,ENSMUSG00000025004,ENSMUSG00000063929,ENSMUSG00000025479,ENSMUSG00000025396,ENSMUSG00000066072,ENSMUSG00000042248,ENSMUSG00000028715,ENSMUSG00000092008"
"GO:MF","catalytic activity","GO:0003824","6.87943458744607e-7","6.162447254445136","5913","547","219","21091","ENSMUSG00000031383,ENSMUSG00000052217,ENSMUSG00000027559,ENSMUSG00000079259,ENSMUSG00000081044,ENSMUSG00000099913,ENSMUSG00000070704,ENSMUSG00000020080,ENSMUSG00000021228,ENSMUSG00000055609,ENSMUSG00000031883,ENSMUSG00000025665,ENSMUSG00000116203,ENSMUSG00000045291,ENSMUSG00000071551,ENSMUSG00000028331,ENSMUSG00000056643,ENSMUSG00000040265,ENSMUSG00000025175,ENSMUSG00000073400,ENSMUSG00000015127,ENSMUSG00000037904,ENSMUSG00000020309,ENSMUSG00000050860,ENSMUSG00000071470,ENSMUSG00000052392,ENSMUSG00000029445,ENSMUSG00000024087,ENSMUSG00000035208,ENSMUSG00000115953,ENSMUSG00000036040,ENSMUSG00000071633,ENSMUSG00000063683,ENSMUSG00000022040,ENSMUSG00000045211,ENSMUSG00000030088,ENSMUSG00000038587,ENSMUSG00000034422,ENSMUSG00000040253,ENSMUSG00000035042,ENSMUSG00000027048,ENSMUSG00000006344,ENSMUSG00000024055,ENSMUSG00000037321,ENSMUSG00000070811,ENSMUSG00000033508,ENSMUSG00000034837,ENSMUSG00000057103,ENSMUSG00000025473,ENSMUSG00000025509,ENSMUSG00000052749,ENSMUSG00000021340,ENSMUSG00000054757,ENSMUSG00000002228,ENSMUSG00000021876,ENSMUSG00000079363,ENSMUSG00000092021,ENSMUSG00000058022,ENSMUSG00000027261,ENSMUSG00000041828,ENSMUSG00000033538,ENSMUSG00000021420,ENSMUSG00000000386,ENSMUSG00000040809,ENSMUSG00000024589,ENSMUSG00000033825,ENSMUSG00000022629,ENSMUSG00000032349,ENSMUSG00000063446,ENSMUSG00000042638,ENSMUSG00000029403,ENSMUSG00000021364,ENSMUSG00000024131,ENSMUSG00000052974,ENSMUSG00000063760,ENSMUSG00000024042,ENSMUSG00000022468,ENSMUSG00000037580,ENSMUSG00000028307,ENSMUSG00000029605,ENSMUSG00000021210,ENSMUSG00000025481,ENSMUSG00000056035,ENSMUSG00000025533,ENSMUSG00000022129,ENSMUSG00000034765,ENSMUSG00000025964,ENSMUSG00000031886,ENSMUSG00000000739,ENSMUSG00000055401,ENSMUSG00000020363,ENSMUSG00000001166,ENSMUSG00000028268,ENSMUSG00000074207,ENSMUSG00000023963,ENSMUSG00000070327,ENSMUSG00000028370,ENSMUSG00000015134,ENSMUSG00000016194,ENSMUSG00000033684,ENSMUSG00000052914,ENSMUSG00000060613,ENSMUSG00000032908,ENSMUSG00000075590,ENSMUSG00000020431,ENSMUSG00000037798,ENSMUSG00000015437,ENSMUSG00000041798,ENSMUSG00000032690,ENSMUSG00000005514,ENSMUSG00000019987,ENSMUSG00000064247,ENSMUSG00000021125,ENSMUSG00000073555,ENSMUSG00000028186,ENSMUSG00000033107,ENSMUSG00000017830,ENSMUSG00000031286,ENSMUSG00000038763,ENSMUSG00000075707,ENSMUSG00000024900,ENSMUSG00000022615,ENSMUSG00000026272,ENSMUSG00000030643,ENSMUSG00000072115,ENSMUSG00000034472,ENSMUSG00000028862,ENSMUSG00000040213,ENSMUSG00000040134,ENSMUSG00000052373,ENSMUSG00000019278,ENSMUSG00000052776,ENSMUSG00000066861,ENSMUSG00000027869,ENSMUSG00000033022,ENSMUSG00000062624,ENSMUSG00000028214,ENSMUSG00000031722,ENSMUSG00000019577,ENSMUSG00000029273,ENSMUSG00000030107,ENSMUSG00000030739,ENSMUSG00000028240,ENSMUSG00000026170,ENSMUSG00000070419,ENSMUSG00000000301,ENSMUSG00000022514,ENSMUSG00000057400,ENSMUSG00000023067,ENSMUSG00000020593,ENSMUSG00000069805,ENSMUSG00000029561,ENSMUSG00000042010,ENSMUSG00000025991,ENSMUSG00000020010,ENSMUSG00000014453,ENSMUSG00000032310,ENSMUSG00000015224,ENSMUSG00000015085,ENSMUSG00000103711,ENSMUSG00000019970,ENSMUSG00000034780,ENSMUSG00000023341,ENSMUSG00000022096,ENSMUSG00000071350,ENSMUSG00000050578,ENSMUSG00000024388,ENSMUSG00000075543,ENSMUSG00000020641,ENSMUSG00000041827,ENSMUSG00000049971,ENSMUSG00000052131,ENSMUSG00000029727,ENSMUSG00000075256,ENSMUSG00000002588,ENSMUSG00000028712,ENSMUSG00000024254,ENSMUSG00000025190,ENSMUSG00000074639,ENSMUSG00000061825,ENSMUSG00000074254,ENSMUSG00000029630,ENSMUSG00000052520,ENSMUSG00000028680,ENSMUSG00000040505,ENSMUSG00000090877,ENSMUSG00000021214,ENSMUSG00000055301,ENSMUSG00000020122,ENSMUSG00000068086,ENSMUSG00000078921,ENSMUSG00000078922,ENSMUSG00000032661,ENSMUSG00000054072,ENSMUSG00000029597,ENSMUSG00000019232,ENSMUSG00000054417,ENSMUSG00000078964,ENSMUSG00000091971,ENSMUSG00000075551,ENSMUSG00000035780,ENSMUSG00000037686,ENSMUSG00000066071,ENSMUSG00000060317,ENSMUSG00000025004,ENSMUSG00000063929,ENSMUSG00000069922,ENSMUSG00000115886,ENSMUSG00000025479,ENSMUSG00000025396,ENSMUSG00000069668,ENSMUSG00000066072,ENSMUSG00000042248,ENSMUSG00000001670,ENSMUSG00000028715,ENSMUSG00000078650,ENSMUSG00000092008,ENSMUSG00000027513,ENSMUSG00000089960"
