Gene,GF1,GF2,GF3,GF4,GF5,BIF1,BIF2,BIF3,BIF4,BIF5
ENSMUSG00000000001,1650.654453,1571.555538,1665.545454,1593.59853,1442.415293,1731.39553,1570.505288,1660.412485,1638.600263,1729.133919
ENSMUSG00000000003,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,204.6892348,229.3425018,232.1410665,210.9255913,268.8867381,334.6417628,415.9768128,336.8864241,341.5312081,268.8915587
ENSMUSG00000000037,0,13.11183447,30.19915168,51.01990997,9.211993754,16.55645224,15.48658711,26.20661776,22.07571758,14.33240597
ENSMUSG00000000049,13520.5234,12595.06137,12162.35275,15240.87365,14654.94711,8073.802027,3366.224462,9805.089316,5907.851645,9954.5658
ENSMUSG00000000056,110.7441384,98.5731832,175.1586411,102.0662082,103.8833416,241.2771429,260.5400219,228.7548219,216.9329145,186.7139557
ENSMUSG00000000058,25.1878143,24.88053142,27.15189679,29.84702486,22.13759242,18.86666277,16.72013678,17.81393151,20.03480345,16.56099854
ENSMUSG00000000078,205.6408592,175.1333938,114.4889211,220.5828705,162.2078428,115.6412267,99.58014879,115.7614149,85.17484574,95.33803951
ENSMUSG00000000085,145.4585314,124.3596205,132.1900665,131.2483479,136.7116156,130.370612,143.5194629,131.1384606,107.8687082,97.45118105
ENSMUSG00000000088,913.7150076,826.189253,1033.675689,1155.592244,1069.626279,691.4306886,704.2139558,808.2815905,776.3524842,846.3851269
ENSMUSG00000000093,185.60253,202.2091775,97.43257068,213.8802101,157.2908437,77.29444328,62.70264407,69.59278549,66.40079496,77.42390682
ENSMUSG00000000094,0,3.614050532,0,1.945301992,0,2.952854625,0,2.726600542,0,0
ENSMUSG00000000103,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000120,157.0482946,156.1530817,69.87991606,137.591502,138.7099966,65.7243024,69.69143657,68.72507119,71.81923388,52.53040729
ENSMUSG00000000125,0,0,0,0,1.165117361,0,0,0,0,0
ENSMUSG00000000126,12.08190612,9.461087734,11.95308576,7.639360417,11.65488446,8.696558512,3.919340223,5.354011459,2.142216701,7.493610007
ENSMUSG00000000127,145.4729595,88.47567433,129.5840403,134.8937398,102.612268,132.5332638,137.7952194,148.2910166,119.9265083,158.3301631
ENSMUSG00000000131,156.4130302,149.9525785,162.2113784,199.7162514,149.8947991,137.3139029,128.1953325,169.6591017,125.051649,134.392806
ENSMUSG00000000134,7.974688542,642.3567906,394.7754568,402.2949022,614.0052622,348.0056332,406.1197876,364.6965592,338.7316586,337.7718443
ENSMUSG00000000142,5.105877924,4.918224602,12.82308228,4.027743684,2.723611984,5.659429138,1.821446392,3.773820336,3.984678888,4.817909581
ENSMUSG00000000148,106.3260497,119.4001395,161.3928584,104.0130916,119.0920665,140.6767585,145.171726,113.6595269,142.6832233,133.7847652
ENSMUSG00000000149,419.9658859,384.6068099,398.9471889,442.4945768,402.9472339,430.8340771,441.7651345,367.8116916,439.7211835,385.996852
ENSMUSG00000000154,166.7754678,103.3303996,165.8225826,157.5955465,114.8125766,125.9705656,110.7468504,140.83964,141.9507946,138.6964297
ENSMUSG00000000157,379.4675218,296.3888335,308.7266638,380.4876252,249.7065947,400.2100844,181.6144134,369.2046142,277.1088508,308.7110085
ENSMUSG00000000159,107.3896178,68.96323007,138.4987181,114.7546671,98.09058544,42.34726097,27.37980795,56.68506371,53.25784256,86.6536912
ENSMUSG00000000167,4.050193909,13.38500822,2.252547649,9.404166629,7.880292573,3.657667123,6.208532597,2.919810483,11.81144546,9.962595547
ENSMUSG00000000168,108.5560947,120.0186173,130.2281239,124.8288305,113.6884223,115.2357229,107.1539461,122.5618952,129.0895026,154.9308078
ENSMUSG00000000171,2009.778876,1731.194362,2353.0885,2116.841186,1991.185569,2005.790803,1560.708,2232.322427,1902.061481,2223.647905
ENSMUSG00000000182,9.884158404,0,3.676700781,13.36751313,5.825586804,0.966180541,0,5.353291192,1.070980564,0
