target_id_matrix,Gene,qval,Log2FC,GF1,GF2,GF3,GF4,GF5,BIF1,BIF2,BIF3,BIF4,BIF5
ENSMUSG00000060807,Serpina6,2.67E-07,4.691817257,22.33845594,22.06133033,1107.419238,22.22666797,25.09190929,5729.866135,7881.734797,4462.158496,8554.02052,2969.173208
ENSMUSG00000107705,Gm45062,0.000524457,3.695406937,0,0.105566726,0.141110001,21.75131567,0,21.47761826,14.71068242,81.72962638,114.0014168,72.09320356
ENSMUSG00000051159,Cited1,2.47E-07,3.312558711,0,3.453768161,5.460328744,0.452370127,5.545184806,45.93027143,117.701683,46.65895711,103.1105531,38.96422179
ENSMUSG00000101878,Gm8203,0.044100348,2.863858004,0,0,2.236229354,0,9.347698396,64.51260271,81.32223797,3.10E-07,43.75989377,46.85178357
ENSMUSG00000031383,Dusp9,0.026841328,2.839948803,0,56.76047088,152.5680325,89.75330245,43.05188386,504.3462424,659.3389539,356.8860794,592.2330467,357.9726988
ENSMUSG00000047686,Rtl3,0.018237757,2.717184092,0,10.64258829,134.1995785,32.46396046,18.64187777,286.9556207,121.4863729,289.9699395,203.4863071,180.6557826
ENSMUSG00000091898,Tnnc1,3.79E-06,2.569319327,10.71099232,14.68383299,163.5204148,21.22005412,16.96321197,326.7192806,271.3381577,370.7636524,394.9279813,307.2622176
ENSMUSG00000052217,Hbb-bh1,3.22E-05,2.491570715,3.294719468,5.91254905,36.76700781,1.909644733,5.825586804,86.95624869,170.4728136,44.61075993,93.17530906,55.77851352
ENSMUSG00000061654,Spry3,0.002705858,2.242934346,0,1.18250981,20.22185429,3.819289466,1.165117361,20.28979136,19.59457627,20.52094957,34.27137804,29.97054458
ENSMUSG00000044211,Gm7887,0.014471884,2.222388676,0,7.583379667,37.18445701,11.21883876,11.70930752,72.21828432,110.5209806,77.97392184,34.44057129,65.42535935
ENSMUSG00000098021,Gm9522,0.040050463,2.208468382,0,15.37262753,0,0,16.31164305,14.49270812,13.71620339,23.19917027,21.42241511,18.3153328
